symbol,module,chembl_target_id,ligand_count,top_compound,top_compound_chembl_id,top_potency_nM,compound_priority_score_0_100,chembl_selectivity_status,lincs_connectivity_map_status,signature_reversal_input_needed,admet_toxicity_filter,bbb_rule_score_0_6,cns_like_flag,docking_status,patent_repurposing_feasibility,clinical_trial_gap,interpretation
SNCA,alpha-synuclein aggregation and propagation,CHEMBL6152,100,CHEMBL3593932,CHEMBL3593932,2.1,72.4,potency_available_selectivity_not_curated,ready_not_executed,validated disease signature from recurrent brain/blood/cell-model omics,no_major_rule_based_flag,5.0,True,credible_structure_and_ligands_available,preclinical_or_tool_compound; repurposing feasibility uncertain,strong biological rationale; need target engagement and disease-modification evidence,drug-discovery triage candidate; not a treatment recommendation
GLP1R,metabolic and GLP-1 receptor signalling,CHEMBL1784,100,CHEMBL398714,CHEMBL398714,32.0,68.0,potency_available_selectivity_not_curated,ready_not_executed,validated disease signature from recurrent brain/blood/cell-model omics,no_major_rule_based_flag,6.0,True,credible_structure_and_ligands_available,preclinical_or_tool_compound; repurposing feasibility uncertain,"trial_signal_exists; need mechanism, subgroup and long-term disease-modification confirmation",drug-discovery triage candidate; not a treatment recommendation
LRRK2,LRRK2 kinase and lysosomal stress,CHEMBL1075104,100,SUNITINIB,CHEMBL535,76.0,85.0,potency_available_selectivity_not_curated,ready_not_executed,validated disease signature from recurrent brain/blood/cell-model omics,black_box_warning,6.0,True,alphafold_only_hypothesis_generating,approved_drug_repurposing_possible_but_indication_patent_and_safety_review_required,"genetically anchored; need safety, target engagement and mutation-stratified trial evidence",drug-discovery triage candidate; not a treatment recommendation
GBA1,GBA1 lysosome/autophagy,CHEMBL2179,100,CHEMBL3349996,CHEMBL3349996,2.4,62.0,potency_available_selectivity_not_curated,ready_not_executed,validated disease signature from recurrent brain/blood/cell-model omics,not_cns_like_by_rule,3.0,False,alphafold_only_hypothesis_generating,preclinical_or_tool_compound; repurposing feasibility uncertain,strong biological rationale; need target engagement and disease-modification evidence,drug-discovery triage candidate; not a treatment recommendation
MAPK1,MAP kinase activation,CHEMBL4040,100,STAUROSPORINE,CHEMBL388978,1.0,70.0,potency_available_selectivity_not_curated,ready_not_executed,validated disease signature from recurrent brain/blood/cell-model omics,not_cns_like_by_rule,4.0,False,alphafold_only_hypothesis_generating,preclinical_or_tool_compound; repurposing feasibility uncertain,compound tractability exists; PD-specific efficacy gap remains,drug-discovery triage candidate; not a treatment recommendation
NOD2,NOD1/2 inflammatory signalling,CHEMBL1293266,100,no_compound_in_shortlist,,,,no_shortlist_compound,ready_not_executed,validated disease signature from recurrent brain/blood/cell-model omics,not_available,,,alphafold_only_hypothesis_generating,target_level_only; requires chemotype and patent review,preclinical validation gap before drug-development triage,drug-discovery triage candidate; not a treatment recommendation
IL17A,IL-17 inflammatory signalling,CHEMBL3390822,100,CHEMBL4872143,CHEMBL4872143,2.0,62.6,potency_available_selectivity_not_curated,ready_not_executed,validated disease signature from recurrent brain/blood/cell-model omics,lipinski_violations;not_cns_like_by_rule,3.0,False,credible_structure_and_ligands_available,preclinical_or_tool_compound; repurposing feasibility uncertain,compound tractability exists; PD-specific efficacy gap remains,drug-discovery triage candidate; not a treatment recommendation
TLR2,innate immune signalling,CHEMBL3301399,15,CHEMBL5195703,CHEMBL5195703,0.4,55.0,potency_available_selectivity_not_curated,ready_not_executed,validated disease signature from recurrent brain/blood/cell-model omics,lipinski_violations;not_cns_like_by_rule,1.0,False,credible_structure_and_ligands_available,preclinical_or_tool_compound; repurposing feasibility uncertain,compound tractability exists; PD-specific efficacy gap remains,drug-discovery triage candidate; not a treatment recommendation
NTRK1,NTRK/neurotrophin signalling,CHEMBL2815,100,SUNITINIB,CHEMBL535,220.0,81.3,potency_available_selectivity_not_curated,ready_not_executed,validated disease signature from recurrent brain/blood/cell-model omics,black_box_warning,6.0,True,alphafold_only_hypothesis_generating,approved_drug_repurposing_possible_but_indication_patent_and_safety_review_required,compound tractability exists; PD-specific efficacy gap remains,drug-discovery triage candidate; not a treatment recommendation
SLC6A3,dopaminergic synapse,CHEMBL238,100,DESIPRAMINE,CHEMBL72,0.49,100.0,potency_available_selectivity_not_curated,ready_not_executed,validated disease signature from recurrent brain/blood/cell-model omics,black_box_warning,6.0,True,credible_structure_and_ligands_available,approved_drug_repurposing_possible_but_indication_patent_and_safety_review_required,compound tractability exists; PD-specific efficacy gap remains,drug-discovery triage candidate; not a treatment recommendation
PINK1,mitochondrial quality control,CHEMBL3337330,3,TP-030-1,CHEMBL4088216,1000.0,16.0,potency_available_selectivity_not_curated,ready_not_executed,validated disease signature from recurrent brain/blood/cell-model omics,not_cns_like_by_rule,,False,credible_structure_and_ligands_available,preclinical_or_tool_compound; repurposing feasibility uncertain,compound tractability exists; PD-specific efficacy gap remains,drug-discovery triage candidate; not a treatment recommendation
LAMP2,lysosome/autophagy,CHEMBL5465542,2,CHEMBL3752910,CHEMBL3752910,37.83,52.4,potency_available_selectivity_not_curated,ready_not_executed,validated disease signature from recurrent brain/blood/cell-model omics,lipinski_violations;not_cns_like_by_rule,3.0,False,alphafold_only_hypothesis_generating,preclinical_or_tool_compound; repurposing feasibility uncertain,compound tractability exists; PD-specific efficacy gap remains,drug-discovery triage candidate; not a treatment recommendation
MYD88,innate immune signalling,CHEMBL5919,5,no_compound_in_shortlist,,,,no_shortlist_compound,ready_not_executed,validated disease signature from recurrent brain/blood/cell-model omics,not_available,,,alphafold_only_hypothesis_generating,target_level_only; requires chemotype and patent review,preclinical validation gap before drug-development triage,drug-discovery triage candidate; not a treatment recommendation
NDUFS3,mitochondrial oxidative phosphorylation,CHEMBL6067008,2,CHEMBL5653589,CHEMBL5653589,2.003,62.6,potency_available_selectivity_not_curated,ready_not_executed,validated disease signature from recurrent brain/blood/cell-model omics,lipinski_violations;not_cns_like_by_rule,3.0,False,alphafold_only_hypothesis_generating,preclinical_or_tool_compound; repurposing feasibility uncertain,compound tractability exists; PD-specific efficacy gap remains,drug-discovery triage candidate; not a treatment recommendation
PRKN,mitochondrial quality control,,0,no_compound_in_shortlist,,,,no_shortlist_compound,ready_not_executed,validated disease signature from recurrent brain/blood/cell-model omics,not_available,,,alphafold_only_low_priority,target_level_only; requires chemotype and patent review,preclinical validation gap before drug-development triage,drug-discovery triage candidate; not a treatment recommendation
